,src,alignsegments,aligntypes,alignctypes
5926,children and adolescents,['children and adolescents'],['NP'],"[['NNS', 'CC', 'NNS']]"
5927,ASD and attention-deficit/hyperactivity disorder ( ADHD ),['ASD and attention - deficit / hyperactivity disorder ( ADHD )'],['NP'],"[['VB', 'CC', 'NN', 'HYPH', 'NN', 'SYM', 'NN', 'NN', '-LRB-', 'NNP', '-RRB-']]"
5929,"97 patients 6-17 years of age , with ASD and ADHD","['97 patients 6 - 17 years', 'of', 'age ,', 'with', 'ASD and ADHD']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS', 'CD', 'SYM', 'CD', 'NNS'], ['IN'], ['NN', ','], ['IN'], ['NNP', 'CC', 'NNP']]"
5932,97,['97'],['NP'],[['CD']]
5933,6-17 years of age,"['6 - 17 years', 'of', 'age']","['NP', 'PP', 'NP']","[['CD', 'SYM', 'CD', 'NNS'], ['IN'], ['NN']]"
5934,ASD and ADHD,['ASD and ADHD'],['NP'],"[['NNP', 'CC', 'NNP']]"
5953,autism spectrum disorder :,['autism spectrum disorder :'],['NP'],"[['NNP', 'NNP', 'NNP', ':']]"
5957,autism spectrum disorder :,['autism spectrum disorder :'],['NP'],"[['NNP', 'NNP', 'NNP', ':']]"
5968,303 patients taking blood pressure and/or lipid-lowering medications,"['303 patients', 'taking', 'blood pressure and/or lipid', '-', 'lowering', 'medications']","['NP', 'VP', 'NP', 'VP', 'VP', 'NP']","[['CD', 'NNS'], ['VBG'], ['NN', 'NN', 'CC', 'NN'], ['HYPH'], ['VBG'], ['NNS']]"
5971,303 patients taking blood pressure and/or lipid-lowering medications,"['303 patients', 'taking', 'blood pressure and/or lipid', '-', 'lowering', 'medications']","['NP', 'VP', 'NP', 'VP', 'VP', 'NP']","[['CD', 'NNS'], ['VBG'], ['NN', 'NN', 'CC', 'NN'], ['HYPH'], ['VBG'], ['NNS']]"
5988,taking blood pressure or lipid-lowering treatment for the prevention of cardiovascular disease,"['taking', 'blood pressure or lipid - lowering treatment', 'for', 'the prevention', 'of', 'cardiovascular disease']","['VP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['VBG'], ['NN', 'NN', 'CC', 'NN', 'HYPH', 'VBG', 'NN'], ['IN'], ['DT', 'NN'], ['IN'], ['JJ', 'NN']]"
5993,cardiovascular preventive treatment,['cardiovascular preventive treatment'],['NP'],"[['JJ', 'JJ', 'NN']]"
6002,patients with corrected tetralogy of Fallot .,"['patients', 'with', 'corrected tetralogy', 'of', 'Fallot .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['VBN', 'NN'], ['IN'], ['NNP', '.']]"
6005,patients with corrected tetralogy of Fallot .,"['patients', 'with', 'corrected tetralogy', 'of', 'Fallot .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['VBN', 'NN'], ['IN'], ['NNP', '.']]"
6007,patients with tetralogy of Fallot aged 10 to 25 years .,"['patients with tetralogy', 'of', 'Fallot', 'aged', '10 to 25', 'years .']","['NP', 'PP', 'NP', 'VP', 'QP', 'NP']","[['NNS', 'IN', 'NN'], ['IN'], ['NNP'], ['VBN'], ['CD', 'TO', 'CD'], ['NNS', '.']]"
6008,patients with tetralogy of Fallot aged 10 to 25 years,"['patients', 'with', 'tetralogy', 'of', 'Fallot aged', '10 to 25', 'years']","['NP', 'PP', 'NP', 'PP', 'NP', 'QP', 'NP']","[['NNS'], ['IN'], ['NN'], ['IN'], ['NNP', 'VBN'], ['CD', 'TO', 'CD'], ['NNS']]"
6029,training in children and young adults with repaired tetralogy of Fallot,"['training', 'in', 'children and young adults', 'with', 'repaired tetralogy', 'of', 'Fallot']","['NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['NN'], ['IN'], ['NNS', 'CC', 'JJ', 'NNS'], ['IN'], ['VBN', 'NN'], ['IN'], ['NNP']]"
6036,children and young adults after repair of tetralogy of Fallot :,"['children and young adults', 'after', 'repair', 'of', 'tetralogy', 'of', 'Fallot :']","['NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['NNS', 'CC', 'JJ', 'NNS'], ['IN'], ['NN'], ['IN'], ['NN'], ['IN'], ['NNP', ':']]"
6038,children and young adults after repair of tetralogy of Fallot,"['children and young adults', 'after', 'repair', 'of', 'tetralogy', 'of', 'Fallot']","['NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['NNS', 'CC', 'JJ', 'NNS'], ['IN'], ['NN'], ['IN'], ['NN'], ['IN'], ['NNP']]"
6040,patients with rheumatoid arthritis ( RA ),"['patients', 'with', 'rheumatoid arthritis ( RA )']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', 'NN', '-LRB-', 'NNP', '-RRB-']]"
6041,RA patients ',"[""RA patients '""]",['NP'],"[['NNP', 'NNS', ""''""]]"
6049,patients with rheumatoid arthritis ( RA ),"['patients', 'with', 'rheumatoid arthritis ( RA )']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', 'NN', '-LRB-', 'NNP', '-RRB-']]"
6065,"Sixty-eight RA patients ( age=55±13 years , body mass index : 27.8±5.4 kg/m2 , median of disease duration=5 ( 2-8 ) yrs )","['Sixty - eight RA patients ( age=55±13 years , body mass index : 27.8±5.4 kg / m2 , median of disease duration=5 (', '2 - 8 )', 'yrs )']","['NP', 'QP', 'NP']","[['CD', 'HYPH', 'CD', 'NNP', 'NNS', '-LRB-', 'IN', 'NNS', ',', 'NN', 'NN', 'NN', ':', 'CD', 'NNP', 'SYM', 'NNP', ',', 'NNP', 'IN', 'NNP', 'ADD', '-LRB-'], ['CD', 'SYM', 'CD', '-RRB-'], ['NNP', '-RRB-']]"
6066,Sixty-eight RA,['Sixty - eight RA'],['NP'],"[['CD', 'HYPH', 'CD', 'NN']]"
6067,age=55±13 years,['age=55±13 years'],['NP'],"[['NNP', 'NNS']]"
6105,in people with RA,"['in', 'people', 'with', 'RA']","['PP', 'NP', 'PP', 'NP']","[['IN'], ['NNS'], ['IN'], ['NNP']]"
6111,rheumatoid arthritis patients .,['rheumatoid arthritis patients .'],['NP'],"[['NNP', 'NNP', 'NNS', '.']]"
6114,rheumatoid arthritis patients .,['rheumatoid arthritis patients .'],['NP'],"[['NNP', 'NNP', 'NNS', '.']]"
6124,"trial invited 25,511 people aged 50-74 years","['trial', 'invited', '25,511 people', 'aged', '50 - 74 years']","['NP', 'VP', 'NP', 'VP', 'NP']","[['NN'], ['VBD'], ['CD', 'NNS'], ['VBN'], ['CD', 'HYPH', 'CD', 'NNS']]"
6125,"25,511","['25,511']",['NP'],[['CD']]
6126,aged 50-74,['aged 50 - 74'],['NP'],"[['JJ', 'CD', 'HYPH', 'CD']]"
6173,study included 281 adults in 301 procedures .,"['study', 'included', '281 adults', 'in', '301 procedures', '.']","['NP', 'VP', 'NP', 'PP', 'NP', 'S']","[['NN'], ['VBD'], ['CD', 'NNS'], ['IN'], ['CD', 'NNS'], ['.']]"
6174,281 adults,['281 adults'],['NP'],"[['CD', 'NNS']]"
6203,retrograde cholangiopancreatography :,['retrograde cholangiopancreatography :'],['NP'],"[['NNP', 'NN', ':']]"
6205,retrograde cholangiopancreatography :,['retrograde cholangiopancreatography :'],['NP'],"[['NNP', 'NN', ':']]"
6207,children with autism spectrum disorder ( ASD ) .,"['children', 'with', 'autism spectrum disorder ( ASD ) .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'NNP', 'NN', '-LRB-', 'NNP', '-RRB-', '.']]"
6210,children,['children'],['NP'],[['NNS']]
6211,autism spectrum disorder ( ASD ),['autism spectrum disorder ( ASD )'],['NP'],"[['NNP', 'NNP', 'NN', '-LRB-', 'NNP', '-RRB-']]"
6216,"Participants were 44 children ages 6-12 ( n = 22 typical , n = 22 ASD ) .","['Participants', 'were', '44 children ages 6 - 12 (', 'n = 22', 'typical ,', 'n = 22 ASD )', '.']","['NP', 'VP', 'NP', 'ADJP', 'ADJP', 'NP', 'S']","[['NNS'], ['VBD'], ['CD', 'NNS', 'NNS', 'CD', 'SYM', 'CD', '-LRB-'], ['NNP', 'SYM', 'CD'], ['JJ', ','], ['NNP', 'SYM', 'CD', 'NNP', '-RRB-'], ['.']]"
6217,44 children ages 6-12,['44 children ages 6 - 12'],['NP'],"[['CD', 'NNS', 'VBZ', 'CD', 'SYM', 'CD']]"
6218,"n = 22 typical , n = 22 ASD","['n = 22 typical , n = 22 ASD']",['NP'],"[['NNP', 'SYM', 'CD', 'JJ', ',', 'NNP', 'SYM', 'CD', 'NN']]"
6239,Children with Autism Spectrum Disorders :,"['Children', 'with', 'Autism Spectrum Disorders :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', 'NNP', 'NNPS', ':']]"
6241,Children,['Children'],['NP'],[['NNS']]
6242,Autism Spectrum Disorders,['Autism Spectrum Disorders'],['NP'],"[['NNP', 'NNP', 'NNPS']]"
6244,patients undergoing laparotomy .,"['patients', 'undergoing', 'laparotomy', '.']","['NP', 'VP', 'NP', 'S']","[['NNS'], ['VBG'], ['NN'], ['.']]"
6256,Eighty patients ( 18 to 65 years of age ) undergoing elective laparotomy,"['Eighty patients', '(', '18 to 65', 'years', 'of', 'age', ')', 'undergoing', 'elective laparotomy']","['NP', 'PRN', 'QP', 'NP', 'PP', 'NP', 'PRN', 'VP', 'NP']","[['CD', 'NNS'], ['-LRB-'], ['CD', 'TO', 'CD'], ['NNS'], ['IN'], ['NN'], ['-RRB-'], ['VBG'], ['JJ', 'NN']]"
6264,Eighty,['Eighty'],['NP'],[['CD']]
6265,18 to 65 years of age,"['18', 'to', '65 years', 'of', 'age']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD'], ['TO'], ['CD', 'NNS'], ['IN'], ['NN']]"
6266,undergoing elective laparotomy,"['undergoing', 'elective laparotomy']","['VP', 'NP']","[['VBG'], ['JJ', 'NNP']]"
6292,nausea in patients undergoing laparotomy,"['nausea', 'in', 'patients', 'undergoing', 'laparotomy']","['NP', 'PP', 'NP', 'VP', 'NP']","[['NN'], ['IN'], ['NNS'], ['VBG'], ['NN']]"
6300,relief in patients undergoing laparatomy,"['relief', 'in', 'patients', 'undergoing', 'laparatomy']","['NP', 'PP', 'NP', 'VP', 'NP']","[['NN'], ['IN'], ['NNS'], ['VBG'], ['NN']]"
6305,patients undergoing laparatomy .,"['patients', 'undergoing', 'laparatomy', '.']","['NP', 'VP', 'NP', 'S']","[['NNS'], ['VBG'], ['NN'], ['.']]"
6309,patients undergoing laparatomy .,"['patients', 'undergoing', 'laparatomy', '.']","['NP', 'VP', 'NP', 'S']","[['NNS'], ['VBG'], ['NN'], ['.']]"
6313,autism spectrum disorders ( ASD ) in toddlers,"['autism spectrum disorders ( ASD )', 'in', 'toddlers']","['NP', 'PP', 'NP']","[['NNP', 'NNP', 'NNS', '-LRB-', 'NNP', '-RRB-'], ['IN'], ['NNS']]"
6314,autism spectrum disorders ( ASD ),['autism spectrum disorders ( ASD )'],['NP'],"[['NNP', 'NNP', 'NNS', '-LRB-', 'NNP', '-RRB-']]"
6315,toddlers,['toddlers'],['NP'],[['NNS']]
6322,toddlers with ASD from toddlers with developmental delay ( DD ) /non-ASD in an early childhood clinic .,"['toddlers', 'with', 'ASD', 'from', 'toddlers with developmental delay ( DD ) /non -', 'ASD', 'in', 'an early childhood clinic .']","['NP', 'PP', 'NP', 'PP', 'NP', 'VP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP'], ['IN'], ['NNS', 'IN', 'JJ', 'NN', '-LRB-', 'NNP', '-RRB-', 'NNP', 'HYPH'], ['VB'], ['IN'], ['DT', 'JJ', 'NN', 'NN', '.']]"
6325,toddlers with ASD from toddlers with developmental delay ( DD ) /non-ASD in an early childhood clinic .,"['toddlers', 'with', 'ASD', 'from', 'toddlers with developmental delay ( DD ) /non -', 'ASD', 'in', 'an early childhood clinic .']","['NP', 'PP', 'NP', 'PP', 'NP', 'VP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP'], ['IN'], ['NNS', 'IN', 'JJ', 'NN', '-LRB-', 'NNP', '-RRB-', 'NNP', 'HYPH'], ['VB'], ['IN'], ['DT', 'JJ', 'NN', 'NN', '.']]"
6327,toddlers with no developmental concerns .,"['toddlers', 'with', 'no developmental concerns .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['DT', 'JJ', 'NNS', '.']]"
6329,toddlers with no developmental concerns .,"['toddlers', 'with', 'no developmental concerns .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['DT', 'JJ', 'NNS', '.']]"
6337,A total of 61 toddlers were enrolled .,"['A total', 'of', '61 toddlers', 'were', 'enrolled', '.']","['NP', 'PP', 'NP', 'VP', 'VP', 'S']","[['DT', 'NN'], ['IN'], ['CD', 'NNS'], ['VBD'], ['VBN'], ['.']]"
6338,A total of 61 toddlers,"['A total', 'of', '61 toddlers']","['NP', 'PP', 'NP']","[['DT', 'NN'], ['IN'], ['CD', 'NNS']]"
6349,ASD in toddlers,"['ASD', 'in', 'toddlers']","['VP', 'PP', 'NP']","[['VB'], ['IN'], ['NNS']]"
6352,ASD in toddlers,"['ASD', 'in', 'toddlers']","['VP', 'PP', 'NP']","[['VB'], ['IN'], ['NNS']]"
6354,Autism Spectrum Disorders in Toddlers .,"['Autism Spectrum Disorders', 'in', 'Toddlers .']","['NP', 'PP', 'NP']","[['NNP', 'NNP', 'NNPS'], ['IN'], ['NNS', '.']]"
6356,Autism Spectrum Disorders,['Autism Spectrum Disorders'],['NP'],"[['NNP', 'NNP', 'NNPS']]"
6357,Toddlers,['Toddlers'],['NP'],[['NNS']]
6359,poor-insight OCD .,['poor - insight OCD .'],['NP'],"[['JJ', 'HYPH', 'NN', 'NN', '.']]"
6363,patients with OCD with poor insight .,"['patients', 'with', 'OCD', 'with', 'poor insight .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP'], ['IN'], ['JJ', 'NN', '.']]"
6367,patients with OCD with poor insight .,"['patients', 'with', 'OCD', 'with', 'poor insight .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP'], ['IN'], ['JJ', 'NN', '.']]"
6369,90 patients with OCD with poor insight,"['90 patients', 'with', 'OCD', 'with', 'poor insight']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['NNP'], ['IN'], ['JJ', 'NN']]"
6372,90 patients with OCD with poor insight,"['90 patients', 'with', 'OCD', 'with', 'poor insight']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['NNP'], ['IN'], ['JJ', 'NN']]"
6389,Patients with OCD with poor insight,"['Patients', 'with', 'OCD', 'with', 'poor insight']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP'], ['IN'], ['JJ', 'NN']]"
6390,Patients with OCD with poor insight,"['Patients', 'with', 'OCD', 'with', 'poor insight']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP'], ['IN'], ['JJ', 'NN']]"
6396,patients with more extreme poor insight .,"['patients', 'with', 'more extreme', 'poor insight .']","['NP', 'PP', 'ADJP', 'NP']","[['NNS'], ['IN'], ['RBR', 'JJ'], ['JJ', 'NN', '.']]"
6401,Obsessive-Compulsive Disorder with Poor Insight :,"['Obsessive - Compulsive Disorder', 'with', 'Poor Insight :']","['NP', 'PP', 'NP']","[['JJ', 'HYPH', 'JJ', 'NNP'], ['IN'], ['NNP', 'NNP', ':']]"
6404,Obsessive-Compulsive Disorder with Poor Insight :,"['Obsessive - Compulsive Disorder', 'with', 'Poor Insight :']","['NP', 'PP', 'NP']","[['JJ', 'HYPH', 'JJ', 'NNP'], ['IN'], ['NNP', 'NNP', ':']]"
6407,16 patients with ischaemic heart disease .,"['16 patients', 'with', 'ischaemic heart disease .']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['JJ', 'NN', 'NN', '.']]"
6412,16 patients with ischaemic heart disease,"['16 patients', 'with', 'ischaemic heart disease']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['JJ', 'NN', 'NN']]"
6425,ear microsurgical operations .,['ear microsurgical operations .'],['NP'],"[['XX', 'JJ', 'NNS', '.']]"
6427,ear microsurgical operations .,['ear microsurgical operations .'],['NP'],"[['XX', 'JJ', 'NNS', '.']]"
6428,"Simple mastoidectomies , radical mastoidectomies and tympano plastics were carried out in 49 patients","['Simple mastoidectomies , radical mastoidectomies and tympano plastics', 'were', 'carried', 'out', 'in', '49 patients']","['NP', 'VP', 'VP', 'PRT', 'PP', 'NP']","[['JJ', 'NNS', ',', 'JJ', 'NNS', 'CC', 'NN', 'NNS'], ['VBD'], ['VBN'], ['RP'], ['IN'], ['CD', 'NNS']]"
6440,"Simple mastoidectomies , radical mastoidectomies and tympano plastics","['Simple mastoidectomies , radical mastoidectomies and tympano plastics']",['NP'],"[['JJ', 'NNS', ',', 'JJ', 'NNS', 'CC', 'NN', 'NNS']]"
6441,49,['49'],['NP'],[['CD']]
6471,ear surgery,['ear surgery'],['NP'],"[['XX', 'NN']]"
6473,ear surgery,['ear surgery'],['NP'],"[['XX', 'NN']]"
6474,92 outpatients affected by generalized anxiety disorders,"['92 outpatients', 'affected', 'by', 'generalized anxiety disorders']","['NP', 'VP', 'PP', 'NP']","[['CD', 'NNS'], ['VBN'], ['IN'], ['VBN', 'NN', 'NNS']]"
6477,92 outpatients affected by generalized anxiety disorders,"['92 outpatients', 'affected', 'by', 'generalized anxiety disorders']","['NP', 'VP', 'PP', 'NP']","[['CD', 'NNS'], ['VBN'], ['IN'], ['VBN', 'NN', 'NNS']]"
6492,Seventy-eight patients completed the first period and 75 the whole study .,"['Seventy', '-', 'eight patients', 'completed', 'the first period', 'and', '75 the whole study', '.']","['NP', 'S', 'NP', 'VP', 'NP', 'S', 'NP', 'S']","[['CD'], ['HYPH'], ['CD', 'NNS'], ['VBD'], ['DT', 'JJ', 'NN'], ['CC'], ['CD', 'DT', 'JJ', 'NN'], ['.']]"
6493,Seventy-eight,['Seventy - eight'],['NP'],"[['CD', 'HYPH', 'CD']]"
6494,75,['75'],['NP'],[['CD']]
6507,anxiety :,['anxiety :'],['NP'],"[['NN', ':']]"
6509,anxiety :,['anxiety :'],['NP'],"[['NN', ':']]"
6511,Fifty-one patients with raised intraocular pressure ( IOP ),"['Fifty - one patients', 'with', 'raised intraocular pressure ( IOP )']","['NP', 'PP', 'NP']","[['CD', 'HYPH', 'CD', 'NNS'], ['IN'], ['VBN', 'JJ', 'NN', '-LRB-', 'NNP', '-RRB-']]"
6516,Fifty-one patients,['Fifty - one patients'],['NP'],"[['CD', 'HYPH', 'CD', 'NNS']]"
6517,raised intraocular pressure ( IOP ),['raised intraocular pressure ( IOP )'],['NP'],"[['VBN', 'JJ', 'NN', '-LRB-', 'NNP', '-RRB-']]"
6538,30 non-insulin dependent ( Type II ) diabetic subjects,"['30', 'non - insulin dependent ( Type II )', 'diabetic subjects']","['NP', 'ADJP', 'NP']","[['CD'], ['JJ', 'JJ', 'JJ', 'JJ', '-LRB-', 'NNP', 'NNP', '-RRB-'], ['JJ', 'NNS']]"
6543,30 non-insulin dependent ( Type II ) diabetic subjects,"['30', 'non - insulin dependent ( Type II )', 'diabetic subjects']","['NP', 'ADJP', 'NP']","[['CD'], ['JJ', 'JJ', 'JJ', 'JJ', '-LRB-', 'NNP', 'NNP', '-RRB-'], ['JJ', 'NNS']]"
6559,Type II diabetes .,['Type II diabetes .'],['NP'],"[['NN', 'NNP', 'NN', '.']]"
6563,Type II diabetic patients .,['Type II diabetic patients .'],['NP'],"[['NN', 'CD', 'JJ', 'NNS', '.']]"
6565,Type II diabetic,['Type II diabetic'],['NP'],"[['NN', 'NNP', 'JJ']]"
6567,non-insulin dependent diabetes mellitus .,['non - insulin dependent diabetes mellitus .'],['NP'],"[['JJ', 'JJ', 'JJ', 'JJ', 'NN', 'NN', '.']]"
6569,non-insulin dependent diabetes mellitus .,['non - insulin dependent diabetes mellitus .'],['NP'],"[['JJ', 'JJ', 'JJ', 'JJ', 'NN', 'NN', '.']]"
6571,outpatients with primary depression,"['outpatients', 'with', 'primary depression']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN']]"
6576,outpatients with primary depression,"['outpatients', 'with', 'primary depression']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN']]"
6620,outpatients with a major depressive disorder .,"['outpatients', 'with', 'a major depressive disorder .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['DT', 'JJ', 'JJ', 'NN', '.']]"
6623,outpatients with a major depressive disorder .,"['outpatients', 'with', 'a major depressive disorder .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['DT', 'JJ', 'JJ', 'NN', '.']]"
6635,United States,['United States'],['NP'],"[['NNP', 'NNP']]"
6644,United States,['United States'],['NP'],"[['NNP', 'NNP']]"
6652,General surgical patients including those undergoing noncardiac thoracic and pelvic operations who were identified at moderate to high risk for postop DVT were included .,"['General surgical patients', 'including', 'those', 'undergoing', 'noncardiac thoracic and pelvic operations', 'who', 'were', 'identified', 'at', 'moderate to high risk', 'for', 'postop DVT', 'were', 'included', '.']","['NP', 'PP', 'NP', 'VP', 'NP', 'WHNP', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'VP', 'VP', 'S']","[['JJ', 'JJ', 'NNS'], ['VBG'], ['DT'], ['VBG'], ['NN', 'NNP', 'CC', 'JJ', 'NNS'], ['WP'], ['VBD'], ['VBN'], ['IN'], ['JJ', 'IN', 'JJ', 'NN'], ['IN'], ['JJ', 'NNP'], ['VBD'], ['VBN'], ['.']]"
6653,General surgical patients including those undergoing noncardiac thoracic and pelvic operations who were identified at moderate to high risk for postop DVT were included .,"['General surgical patients', 'including', 'those', 'undergoing', 'noncardiac thoracic and pelvic operations', 'who', 'were', 'identified', 'at', 'moderate to high risk', 'for', 'postop DVT', 'were', 'included', '.']","['NP', 'PP', 'NP', 'VP', 'NP', 'WHNP', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'VP', 'VP', 'S']","[['JJ', 'JJ', 'NNS'], ['VBG'], ['DT'], ['VBG'], ['NN', 'NNP', 'CC', 'JJ', 'NNS'], ['WP'], ['VBD'], ['VBN'], ['IN'], ['JJ', 'IN', 'JJ', 'NN'], ['IN'], ['JJ', 'NNP'], ['VBD'], ['VBN'], ['.']]"
6655,Eight hundred and eighty eight patients were entered into this trial and 744 ( 85 % ) completed the study .,"['Eight hundred and eighty', 'eight', 'patients', 'were', 'entered', 'into', 'this trial', 'and', '744 ( 85 % )', 'completed', 'the study', '.']","['QP', 'QP', 'NP', 'VP', 'VP', 'PP', 'NP', 'S', 'NP', 'VP', 'NP', 'S']","[['CD', 'CD', 'CC', 'CD'], ['CD'], ['NNS'], ['VBD'], ['VBN'], ['IN'], ['DT', 'NN'], ['CC'], ['CD', '-LRB-', 'CD', 'NN', '-RRB-'], ['VBD'], ['DT', 'NN'], ['.']]"
6656,Eight hundred and eighty eight,['Eight hundred and eighty eight'],['NP'],"[['CD', 'CD', 'CC', 'CD', 'CD']]"
6657,744,['744'],['NP'],[['CD']]
6665,600 cases,['600 cases'],['NP'],"[['CD', 'NNS']]"
6666,600 cases,['600 cases'],['NP'],"[['CD', 'NNS']]"
6667,advanced breast cancers,['advanced breast cancers'],['NP'],"[['JJ', 'NN', 'NNS']]"
6668,in eight French anticancer centres .,"['in', 'eight French anticancer centres', '.']","['FRAG', 'NP', 'FRAG']","[['IN'], ['CD', 'JJ', 'NN', 'NNS'], ['.']]"
6669,advanced breast cancers,['advanced breast cancers'],['NP'],"[['JJ', 'NN', 'NNS']]"
6670,in eight French anticancer centres,"['in', 'eight French anticancer centres']","['PP', 'NP']","[['IN'], ['CD', 'JJ', 'NN', 'VBZ']]"
6672,603 patients,['603 patients'],['NP'],"[['CD', 'NNS']]"
6673,603 patients,['603 patients'],['NP'],"[['CD', 'NNS']]"
6693,advanced breast cancer .,['advanced breast cancer .'],['NP'],"[['JJ', 'NN', 'NN', '.']]"
6695,advanced breast cancer .,['advanced breast cancer .'],['NP'],"[['JJ', 'NN', 'NN', '.']]"
6697,Three hundred forty-one Tanzanian preschool children,['Three hundred forty - one Tanzanian preschool children'],['NP'],"[['CD', 'CD', 'CD', 'HYPH', 'CD', 'JJ', 'JJ', 'NNS']]"
6700,Three hundred forty-one Tanzanian preschool children,['Three hundred forty - one Tanzanian preschool children'],['NP'],"[['CD', 'CD', 'CD', 'HYPH', 'CD', 'JJ', 'JJ', 'NNS']]"
6714,children,['children'],['NP'],[['NNS']]
6723,45 type I ( insulin dependent ) diabetics without proliferative retinopathy,"['45 type I ( insulin dependent ) diabetics', 'without', 'proliferative retinopathy']","['NP', 'PP', 'NP']","[['CD', 'NN', 'PRP', '-LRB-', 'NN', 'JJ', '-RRB-', 'NNS'], ['IN'], ['JJ', 'NN']]"
6728,45 type I ( insulin dependent ) diabetics without proliferative retinopathy,"['45 type I ( insulin dependent ) diabetics', 'without', 'proliferative retinopathy']","['NP', 'PP', 'NP']","[['CD', 'NN', 'PRP', '-LRB-', 'NN', 'JJ', '-RRB-', 'NNS'], ['IN'], ['JJ', 'NN']]"
6753,insulin dependent diabetes mellitus :,['insulin dependent diabetes mellitus :'],['NP'],"[['NNP', 'JJ', 'NNP', 'NNP', ':']]"
6756,insulin dependent diabetes mellitus :,['insulin dependent diabetes mellitus :'],['NP'],"[['NNP', 'JJ', 'NNP', 'NNP', ':']]"
6758,391 medical student volunteers during the influenza A2 Hong Kong epidemic in Helsinki in the winter of 1969 .,"['391 medical student volunteers', 'during', 'the influenza A2 Hong Kong epidemic', 'in', 'Helsinki', 'in', 'the winter', 'of', '1969', '.']","['NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP', 'S']","[['CD', 'JJ', 'NN', 'NNS'], ['IN'], ['DT', 'NN', 'NNP', 'NNP', 'NNP', 'NN'], ['IN'], ['NNP'], ['IN'], ['DT', 'NN'], ['IN'], ['CD'], ['.']]"
6760,391 medical student volunteers during the influenza A2 Hong Kong epidemic in Helsinki in the winter of 1969,"['391 medical student volunteers', 'during', 'the influenza A2 Hong Kong epidemic', 'in', 'Helsinki', 'in', 'the winter', 'of', '1969']","['NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'JJ', 'NN', 'NNS'], ['IN'], ['DT', 'NN', 'NNP', 'NNP', 'NNP', 'NN'], ['IN'], ['NNP'], ['IN'], ['DT', 'NN'], ['IN'], ['CD']]"
6772,31 adult asthmatic patients,['31 adult asthmatic patients'],['NP'],"[['CD', 'NN', 'JJ', 'NNS']]"
6775,31 adult asthmatic,['31 adult asthmatic'],['NP'],"[['CD', 'NN', 'JJ']]"
6809,asthma in adults,"['asthma', 'in', 'adults']","['NP', 'PP', 'NP']","[['NN'], ['IN'], ['NNS']]"
6811,asthma,['asthma'],['NP'],[['NNP']]
6812,adults,['adults'],['NP'],[['NNS']]
6814,31 healthy middle aged men,['31 healthy middle aged men'],['NP'],"[['CD', 'JJ', 'JJ', 'JJ', 'NNS']]"
6818,31 healthy middle aged men,['31 healthy middle aged men'],['NP'],"[['CD', 'JJ', 'JJ', 'JJ', 'NNS']]"
6845,healthy middle aged men,['healthy middle aged men'],['NP'],"[['JJ', 'JJ', 'JJ', 'NNS']]"
6849,healthy middle aged men,['healthy middle aged men'],['NP'],"[['JJ', 'JJ', 'JJ', 'NNS']]"
6853,middle aged men .,['middle aged men .'],['NP'],"[['JJ', 'JJ', 'NNS', '.']]"
